Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Josefin Sans,,✓,,,
Dancing Script,,,,✓,
Pacifico,,,,✓,
Lobster,,,,✓,
Caveat,,,,✓,
Shadows Into Light,,,,✓,
Permanent Marker,,,,,✓
Satisfy,,,,✓,
Cinzel,✓,,,,
Great Vibes,,,,✓,
Lobster Two,,,,✓,
Yellowtail,,,,✓,
Kalam,,,,✓,
Courgette,,,,✓,
Pirata One,,,,✓,
Gloria Hallelujah,,,,✓,
Kaushan Script,,,,✓,
Sacramento,,,,✓,
Allura,,,,✓,
Yatra One,,,,✓,
Tangerine,,,,✓,
Parisienne,,,,✓,
Cookie,,,,✓,
Architects Daughter,,,,✓,
Bad Script,,,,✓,
Alex Brush,,,,✓,
Monoton,,,,,✓
Playball,,,,✓,
Sriracha,,,,✓,
Homemade Apple,,,,✓,
Rock Salt,,,,✓,
Damion,,,,✓,
Pinyon Script,,,,✓,
Zeyada,,,,✓,
Italianno,,,,✓,
Julius Sans One,,✓,,,
Mr Dafoe,,,,✓,
Fredericka the Great,,,,✓,
Caveat Brush,,,,✓,
Cinzel Decorative,,,,,✓
Charm,,,,✓,
Rochester,,,,✓,
Seaweed Script,,,,✓,
Cabin Sketch,,,,,✓
Covered By Your Grace,,,,✓,
Gochi Hand,,,,✓,
Allison,,,,✓,
Just Another Hand,,,,✓,
Mrs Saint Delafield,,,,✓,
Grand Hotel,,,,✓,
Chango,,,,,✓
Herr Von Muellerhoff,,,,✓,
Pattaya,,,,✓,
Shadows Into Light Two,,,,✓,
La Belle Aurore,,,,✓,
Rye,,,,✓,
Cedarville Cursive,,,,✓,
Arizonia,,,,✓,
Ms Madi,,,,✓,
Petit Formal Script,,,,✓,
Style Script,,,,✓,
Limelight,,,,,✓
Kristi,,,,✓,
Grenze Gotisch,,,,,✓
Calligraffitti,,,,✓,
Monsieur La Doulaise,,,,✓,
Aladin,,,,✓,
Sedgwick Ave,,,,✓,
Dawning of a New Day,,,,✓,
Meddon,,,,✓,
Over the Rainbow,,,,✓,
Ephesis,,,,✓,
Sarina,,,,✓,
Lacquer,,,,✓,
Fuggles,,,,✓,
Aguafina Script,,,,✓,
Hurricane,,,,,✓
Germania One,,,,,✓
Notable,,,,,✓
Birthstone Bounce,,,,✓,
Qwigley,,,,✓,
Loved by the King,,,,✓,
Mr De Haviland,,,,✓,
Bokor,,,,,✓
Oregano,,,,,✓
League Script,,,,✓,
Rouge Script,,,,✓,
Give You Glory,,,,✓,
Vibur,,,,✓,
Amarante,,,,,✓
Birthstone,,,,✓,
Square Peg,,,,✓,
Ma Shan Zheng,,,,✓,
Euphoria Script,,,,✓,
Metamorphous,,,,,✓
Corinthia,,,,✓,
Just Me Again Down Here,,,,✓,
Shojumaru,,,,,✓
Charmonman,,,,✓,
Lily Script One,,,,✓,
Galada,,,,✓,
Meow Script,,,,✓,
Qwitcher Grypen,,,,✓,
Clicker Script,,,,✓,
Almendra,✓,,,,
Akaya Kanadaka,,,,,✓
Bilbo Swash Caps,,,,✓,
