Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Caveat,,,,✓,
Indie Flower,,,,✓,
Amatic SC,,,,✓,
Kalam,,,,✓,
Gloria Hallelujah,,,,✓,
Rubik Bubbles,,✓,,,
Neucha,,,,✓,
Luckiest Guy,,,,,✓
Yatra One,,,,✓,
Special Elite,,,,,✓
Dela Gothic One,,,,,✓
Reenie Beanie,,,,✓,
Architects Daughter,,,,✓,
Rammetto One,,,,,✓
Rock Salt,,,,,✓
Creepster,,,,,✓
Zeyada,,,,✓,
Pangolin,,,,✓,
Londrina Solid,,,,,✓
Averia Serif Libre,✓,,,,
Syncopate,,,,,✓
Caveat Brush,,,,✓,
Potta One,,,,,✓
Seaweed Script,,,,✓,
Julee,,,,✓,
Covered By Your Grace,,,,✓,
Hachi Maru Pop,,,,,✓
Nanum Brush Script,,,,✓,
Eater,,,,,✓
Yuji Mai,,,,,✓
Major Mono Display,,,✓,,
La Belle Aurore,,,,✓,
Annie Use Your Telescope,,,,✓,
Cedarville Cursive,,,,✓,
Mali,,,,,✓
Mountains of Christmas,,,,,✓
Love Ya Like A Sister,,,,✓,
Coming Soon,,,,✓,
Wallpoet,,,,,✓
Irish Grover,,,,,✓
Schoolbell,,,,,✓
Calligraffitti,,,,✓,
Turret Road,,,,,✓
Waiting for the Sunrise,,,,✓,
Black And White Picture,,,,,✓
Mouse Memoirs,,,,,✓
Aladin,,,,✓,
Sedgwick Ave,,,,✓,
Syne Mono,,,✓,,
Over the Rainbow,,,,✓,
B612 Mono,,,✓,,
Rubik Vinyl,,,,,✓
ZCOOL QingKe HuangYou,,,,,✓
Chelsea Market,,,,,✓
Frijole,,,,,✓
Unkempt,,,,,✓
McLaren,,,,,✓
Finger Paint,,,,,✓
Skranji,,,,,✓
Crafty Girls,,,,✓,
Kranky,,,,,✓
Trade Winds,,,,,✓
Vibur,,,,✓,
Amarante,,,,,✓
Ruslan Display,,,,,✓
Dokdo,,,,,✓
Barriecito,,,,,✓
Cherry Cream Soda,,,,,✓
Life Savers,,,,,✓
Shojumaru,,,,,✓
Wendy One,,✓,,,
Slackey,,,,,✓
Rubik Moonrocks,,,,,✓
Shantell Sans,,,,✓,
Hi Melody,,,,✓,
ZCOOL KuaiLe,,,,,✓
Fontdiner Swanky,,,,,✓
Macondo,,,,,✓
The Girl Next Door,,,,✓,
Nerko One,,,,,✓
Gaegu,,,,,✓
Henny Penny,,,,,✓
Original Surfer,,,,,✓
Reggae One,,,,,✓
Peralta,,,,,✓
Mirza,,,,,✓
Freckle Face,,,,,✓
Ceviche One,,,,,✓
Underdog,,,,,✓
Delicious Handrawn,,,,✓,
Swanky and Moo Moo,,,,✓,
Miniver,,,,,✓
Macondo Swash Caps,,,,,✓
Emilys Candy,,,,,✓
Flavors,,,,,✓
Stick,,,,,✓
Yomogi,,,,,✓
Miltonian Tattoo,,,,,✓
DynaPuff,,,,,✓
Ribeye,,,,,✓
Stylish,,,,,✓
Srisakdi,,,,✓,
Londrina Outline,,,,,✓
Ranchers,,,,,✓
Autour One,,,,,✓
Barrio,,,,,✓
Tillana,,,,✓,
Karantina,,,,,✓
Metal Mania,,,,,✓
Liu Jian Mao Cao,,,,✓,
Fuzzy Bubbles,,,,✓,
Federant,,✓,,,
Mynerve,,,,✓,
Gorditas,,,,,✓
