Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Roboto,,✓,,,
Open Sans,,✓,,,
Montserrat,,✓,,,
Poppins,,✓,,,
Inter,,✓,,,
Lato,,✓,,,
Roboto Condensed,,✓,,,
Oswald,,✓,,,
Noto Sans,,✓,,,
Raleway,,✓,,,
Nunito Sans,,✓,,,
Ubuntu,,✓,,,
Merriweather,✓,,,,
Kanit,,✓,,,
Roboto Slab,✓,,,,
PT Sans,,✓,,,
Lora,✓,,,,
DM Sans,,✓,,,
Manrope,,✓,,,
Fira Sans,,✓,,,
Noto Serif,✓,,,,
Outfit,,✓,,,
Titillium Web,,✓,,,
Libre Franklin,,✓,,,
Schibsted Grotesk,,✓,,,
Space Grotesk,,✓,,,
Libre Baskerville,✓,,,,
EB Garamond,✓,,,,
Arimo,,✓,,,
Mukta,,✓,,,
Crimson Text,✓,,,,
PT Sans Narrow,,✓,,,
Source Sans 3,,✓,,,
Hind,,✓,,,
Assistant,,✓,,,
Plus Jakarta Sans,,✓,,,
Signika Negative,,✓,,,
Prompt,,✓,,,
Oxygen,,✓,,,
Cabin,,✓,,,
Figtree,,✓,,,
Hind Siliguri,,✓,,,
Archivo,,✓,,,
Bitter,✓,,,,
Roboto Flex,,✓,,,
Tajawal,,✓,,,
Slabo 27px,✓,,,,
Varela Round,,✓,,,
Arvo,✓,,,,
Cormorant Garamond,✓,,,,
Sora,,✓,,,
Asap,,✓,,,
Zilla Slab,✓,,,,
Source Serif 4,✓,,,,
Merriweather Sans,,✓,,,
Almarai,,✓,,,
Urbanist,,✓,,,
IBM Plex Serif,✓,,,,
Frank Ruhl Libre,✓,,,,
Signika,,✓,,,
Yanone Kaffeesatz,,✓,,,
Alegreya,✓,,,,
Marcellus,✓,,,,
Archivo Narrow,,✓,,,
Sofia Sans,,✓,,,
Noto Sans Display,,✓,,,
League Spartan,,✓,,,
Sarabun,,✓,,,
Spectral,✓,,,,
Zen Kaku Gothic New,,✓,,,
Prata,✓,,,,
Bodoni Moda,✓,,,,
Saira,,✓,,,
Crimson Pro,✓,,,,
Yantramanav,,✓,,,
Noticia Text,✓,,,,
Crete Round,✓,,,,
Sen,,✓,,,
Rokkitt,✓,,,,
Didact Gothic,,✓,,,
Philosopher,,✓,,,
Libre Caslon Text,✓,,,,
Old Standard TT,✓,,,,
Encode Sans Condensed,,✓,,,
Gruppo,,,,,✓
DM Serif Text,✓,,,,
Zen Maru Gothic,,✓,,,
Mate,✓,,,,
Fira Sans Extra Condensed,,✓,,,
Onest,,✓,,,
Noto Sans Mono,,,✓,,
Cantarell,,✓,,,
Taviraj,✓,,,,
Neuton,✓,,,,
Gelasio,✓,,,,
Sanchez,✓,,,,
Poiret One,,,,,✓
Geologica,,✓,,,
Syne,,✓,,,
IBM Plex Sans Condensed,,✓,,,
News Cycle,,✓,,,
