Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Funnel,,✓,,,
NORD,,✓,,,
Alumni Sans,,✓,,,
Lexend,,✓,,,
Poiret One,,,,,✓
Gowun Dodum,,✓,,,
Outfit,,✓,,,
Red Hat Display,,✓,,,
Red Hat Text,,✓,,,
Noto Sans,,✓,,,
M PLUS 1p,,✓,,,
Noto Sans Display,,✓,,,
Noto Sans Mono,,,✓,,
M PLUS 2,,✓,,,
Nokora,,✓,,,
Be Vietnam Pro,,✓,,,
Onest,,✓,,,
Gabarito,,✓,,,
Quicksand,,✓,,,
Kumbh Sans,,✓,,,
Mulish,,✓,,,
Inter,,✓,,,
Inter Tight,,✓,,,
Montserrat,,✓,,,
Montserrat Alternates,,✓,,,
Hind,,✓,,,
Instrument Sans,,✓,,,
Archivo,,✓,,,
Assistant,,✓,,,
M PLUS 1,,✓,,,
Heebo,,✓,,,
Commissioner,,✓,,,
Anuphan,,✓,,,
Figtree,,✓,,,
Radio Canada,,✓,,,
Nunito,,✓,,,
Molengo,,✓,,,
DM Sans,,✓,,,
Meera Inimai,,✓,,,
Poppins,,✓,,,
Jost,,✓,,,
Average Sans,,✓,,,
Numans,,✓,,,
Jura,,✓,,,
Anaheim,,✓,,,
Arimo,,✓,,,
Encode Sans,,✓,,,
Andika,,✓,,,
Barlow,,✓,,,
Barlow Condensed,,✓,,,
Barlow Semi Condensed,,✓,,,
Geist,,✓,,,
Host Grotesk,,✓,,,
Azeret Mono,,,✓,,
Encode Sans SC,,✓,,,
Rethink Sans,,✓,,,
Almarai,,✓,,,
Jaldi,,✓,,,
Akatab,,✓,,,
Cambay,,✓,,,
Public Sans,,✓,,,
League Spartan,,✓,,,
Asap Condensed,,✓,,,
Actor,,✓,,,
Mukta,,✓,,,
Mukta Malar,,✓,,,
Mukta Vaani,,✓,,,
Mukta Mahee,,✓,,,
Athiti,,✓,,,
Alef,,✓,,,
Prompt,,✓,,,
Bellota Text,,✓,,,
Agdasima,,✓,,,
Readex Pro,,✓,,,
B612,,✓,,,
Istok Web,,✓,,,
Alexandria,,✓,,,
Basic,,✓,,,
Cantarell,,✓,,,
Gantari,,✓,,,
ABeeZee,,✓,,,
Carlito,,✓,,,
Shippori Antique B1,,✓,,,
Libre Franklin,,✓,,,
Finlandica,,✓,,,
Mohave,,✓,,,
Titillium Web,,✓,,,
Hanken Grotesk,,✓,,,
PT Sans Caption,,✓,,,
Quattrocento Sans,,✓,,,
Raleway,,✓,,,
Kanit,,✓,,,
Open Sans,,✓,,,
Khula,,✓,,,
Kdam Thmor Pro,,✓,,,
Cousine,,,✓,,
Rambla,,✓,,,
Kantumruy Pro,,✓,,,
Martel Sans,,✓,,,
PT Sans,,✓,,,
Oxygen,,✓,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Istok Web4 styles,,,,,
