Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Shadows Into Light,,,,✓,
Indie Flower,,,,✓,
Amatic SC,,,,,✓
Kalam,,✓,,,
Courgette,,,,✓,
Gloria Hallelujah,,,,✓,
Neucha,,,,✓,
Luckiest Guy,,,,,✓
Patrick Hand,,,,✓,
Itim,,✓,,,
Reenie Beanie,,,,✓,
Architects Daughter,,,,✓,
Bad Script,,,,✓,
Comic Neue,,✓,,,
Zeyada,,,,✓,
Handlee,,,,✓,
Pangolin,,,,,✓
Nothing You Could Do,,,,✓,
Averia Serif Libre,✓,,,,
Balsamiq Sans,,✓,,,
Caveat Brush,,,,✓,
Chewy,,,,,✓
Fugaz One,,,,,✓
Boogaloo,,,,,✓
Poetsen One,,,,,✓
Covered By Your Grace,,,,✓,
Hachi Maru Pop,,,,✓,
Nanum Brush Script,,,,✓,
Gochi Hand,,,,✓,
Just Another Hand,,,,✓,
Jua,,✓,,,
Chango,,,,,✓
Shadows Into Light Two,,,,✓,
Annie Use Your Telescope,,,,✓,
Mali,✓,,,,
Oooh Baby,,,,✓,
Klee One,,✓,,,
Love Ya Like A Sister,,,,,✓
Coming Soon,,,,✓,
Schoolbell,,,,✓,
Kristi,,,,✓,
Sniglet,,,,,✓
Delius,,✓,,,
Calligraffitti,,,,✓,
Short Stack,,,,,✓
Waiting for the Sunrise,,,,✓,
Mansalva,,,,✓,
Over the Rainbow,,,,✓,
Allan,,,,,✓
Lacquer,,,,,✓
Capriola,,✓,,,
Loved by the King,,,,✓,
Unkempt,,,,,✓
Happy Monkey,,✓,,,
Sue Ellen Francisco,,,,✓,
Walter Turncoat,,,,,✓
Finger Paint,,,,,✓
Coiny,,,,,✓
Gamja Flower,,,,,✓
Give You Glory,,,,✓,
Crafty Girls,,,,✓,
Bellota,,✓,,,
Kranky,,,,,✓
Vibur,,,,✓,
Square Peg,,,,✓,
Just Me Again Down Here,,,,✓,
Cherry Cream Soda,,,,,✓
Wendy One,,,,,✓
Gluten,,,,,✓
Sofadi One,,,,,✓
Shantell Sans,,✓,,,
Hi Melody,,,,✓,
The Girl Next Door,,,,✓,
Nerko One,,,,,✓
Akaya Kanadaka,,,,,✓
Patrick Hand SC,,,,✓,
Gaegu,,✓,,,
Edu SA Beginner,,,,✓,
Delius Unicase,,✓,,,
Peralta,,,,,✓
Rum Raisin,,,,,✓
Sunshiney,,,,✓,
East Sea Dokdo,,,,✓,
Dekko,,✓,,,
Swanky and Moo Moo,,,,✓,
Borel,,,,,✓
Playpen Sans,,✓,,,
Margarine,,,,,✓
Delius Swash Caps,,✓,,,
Yomogi,,,,✓,
DynaPuff,,,,,✓
Ribeye,,,,,✓
Autour One,,,,,✓
Kablammo,,,,,✓
Kavivanar,,,,✓,
Miltonian,,,,,✓
Liu Jian Mao Cao,,,,✓,
Fuzzy Bubbles,,,,,✓
Long Cang,,,,✓,
Akaya Telivigala,,,,,✓
Mynerve,,,,✓,
Chicle,,,,,✓
Farsan,,,,✓,
Edu TAS Beginner,,,,✓,
Edu NSW ACT Foundation,,,,✓,
Ribeye Marrow,,,,,✓
Yeon Sung,,,,✓,
Solitreo,,,,✓,
Twinkle Star,,,,,✓
Single Day,,,,✓,
Yuji Boku,✓,,,,
Bonbon,,,,,✓
Edu Australia VIC WA NT Hand Dots,,,,✓,
Edu Australia VIC WA NT Hand Guides,,,,✓,
Matemasie,,,,,✓
Edu Australia VIC WA NT Hand,,,,✓,
Snowburst One,,,,,✓
Edu QLD Beginner,,,,✓,
Moo Lah Lah,,,,,✓
Edu Australia VIC WA NT Hand Arrows,,,,✓,
