Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Dancing Script,,,,✓,
Lobster,,,,✓,
Great Vibes,,,,✓,
Sacramento,,,,✓,
Allura,,,,✓,
Sofia,,,,✓,
Tangerine,,,,✓,
Parisienne,,,,✓,
Cookie,,,,✓,
Alex Brush,,,,✓,
Pinyon Script,,,,✓,
Marck Script,,,,✓,
Italianno,,,,✓,
Mr Dafoe,,,,✓,
Charm,,,,✓,
Rochester,,,,✓,
Mrs Saint Delafield,,,,✓,
Grand Hotel,,,,✓,
Herr Von Muellerhoff,,,,✓,
Pattaya,,,,✓,
Norican,,,,✓,
Arizonia,,,,✓,
Ms Madi,,,,✓,
Petit Formal Script,,,,✓,
Style Script,,,,✓,
Birthstone,,,,✓,
Euphoria Script,,,,✓,
Corinthia,,,,✓,
Charmonman,,,,✓,
Galada,,,,✓,
Montez,,,,✓,
Meow Script,,,,✓,
Qwitcher Grypen,,,,✓,
Clicker Script,,,,✓,
Dynalight,,,,✓,
Ruthie,,,,✓,
Eagle Lake,,,,✓,
The Nautigal,,,,✓,
Licorice,,,,✓,
Lovers Quarrel,,,,✓,
Monte Carlo,,,,✓,
WindSong,,,,✓,
Whisper,,,,✓,
Stalemate,,,,✓,
Carattere,,,,✓,
Luxurious Script,,,,✓,
Meie Script,,,,✓,
Waterfall,,,,✓,
Mea Culpa,,,,✓,
Passions Conflict,,,,✓,
Caramel,,,,✓,
Imperial Script,,,,✓,
Beau Rivage,,,,✓,
Engagement,,,,✓,
Lugrasimo,,,,✓,
Gwendolyn,,,,✓,
Bilbo,,,,✓,
Mrs Sheppards,,,,✓,
Felipa,,,,✓,
Grey Qo,,,,✓,
Lavishly Yours,,,,✓,
Bonheur Royale,,,,✓,
Ballet,,,,✓,
Molle,,,,✓,
Romanesco,,,,✓,
Love Light,,,,✓,
Neonderthaw,,,,✓,
Mr Bedfort,,,,✓,
Inspiration,,,,✓,
Send Flowers,,,,✓,
Fleur De Leah,,,,✓,
Miss Fajardose,,,,✓,
Kings,,,,✓,
Updock,,,,✓,
Island Moments,,,,✓,
My Soul,,,,✓,
Sassy Frass,,,,✓,
Petemoss,,,,✓,
Cherish,,,,✓,
Estonia,,,,✓,
Puppies Play,,,,✓,
