Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Shadows Into Light,,,,✓,
Permanent Marker,,,,,✓
Spicy Rice,,,,,✓
Acme,,✓,,,
Merienda,,,,✓,
Bree Serif,✓,,,,
Rubik Bubbles,,,,,✓
Luckiest Guy,,,,,✓
Special Elite,,,,,✓
Audiowide,,,,,✓
Reenie Beanie,,,,✓,
Carter One,,,,,✓
Sriracha,,,,✓,
Rock Salt,,,,✓,
Damion,,,,✓,
Creepster,,,,,✓
Pangolin,,,,,✓
Londrina Solid,,,,,✓
Nothing You Could Do,,,,✓,
Mr Dafoe,,,,✓,
Charm,,,,✓,
Boogaloo,,,,,✓
Julee,,,,✓,
Nanum Brush Script,,,,✓,
Just Another Hand,,,,✓,
Jua,,✓,,,
Eater,,,,,✓
Yuji Mai,✓,,,,
Shadows Into Light Two,,,,✓,
Knewave,,,,,✓
Mountains of Christmas,,,,,✓
Love Ya Like A Sister,,,,,✓
Irish Grover,,,,,✓
Salsa,,,,,✓
Kristi,,,,✓,
Rancho,,,,✓,
Rakkas,,,,,✓
Short Stack,,,,,✓
Sigmar One,,,,,✓
Mansalva,,,,✓,
Mouse Memoirs,,✓,,,
Bubblegum Sans,,,,,✓
Sedgwick Ave,,,,✓,
Dawning of a New Day,,,,✓,
Ephesis,,,,✓,
Lacquer,,,,,✓
Rubik Vinyl,,,,,✓
Fuggles,,,,✓,
Birthstone Bounce,,,,✓,
Loved by the King,,,,✓,
Frijole,,,,,✓
Unkempt,,,,,✓
McLaren,,,,,✓
Oregano,,,,,✓
Walter Turncoat,,,,,✓
Modak,,,,,✓
Skranji,,,,,✓
Atma,,✓,,,
Trade Winds,,,,,✓
Rampart One,,,,,✓
Vibur,,,,✓,
Ma Shan Zheng,,,,✓,
Bigshot One,,,,,✓
Just Me Again Down Here,,,,✓,
Dokdo,,,,✓,
Codystar,,,,,✓
Life Savers,,,,,✓
Sofadi One,,,,,✓
Slackey,,,,,✓
Rubik Moonrocks,,,,,✓
Shantell Sans,,✓,,,
Montez,,,,✓,
ZCOOL KuaiLe,,,,,✓
Fontdiner Swanky,,,,,✓
Qwitcher Grypen,,,,✓,
The Girl Next Door,,,,✓,
Henny Penny,,,,,✓
Maiden Orange,,,,,✓
Bilbo Swash Caps,,,,✓,
Reggae One,,,,,✓
Peralta,,,,,✓
Sedgwick Ave Display,,,,,✓
Rum Raisin,,,,,✓
Sunshiney,,,,✓,
Freckle Face,,,,,✓
Mogra,,,,,✓
East Sea Dokdo,,,,✓,
Comforter Brush,,,,✓,
Underdog,,,,,✓
Delicious Handrawn,,,,✓,
Wellfleet,,,,,✓
Miniver,,,,,✓
Margarine,,,,,✓
Emilys Candy,,,,,✓
Flavors,,,,,✓
Stick,,✓,,,
Yomogi,,,,✓,
Vampiro One,,,,,✓
Denk One,,✓,,,
Ribeye,,,,,✓
Rubik Dirt,,,,,✓
Ruge Boogie,,,,✓,
Londrina Outline,,,,,✓
Ranchers,,,,,✓
Kablammo,,,,,✓
Kavivanar,,,,✓,
