Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Ubuntu,,✓,,,
Kanit,,✓,,,
Cairo,,✓,,,
Exo 2,,✓,,,
Teko,,✓,,,
Rajdhani,,✓,,,
Chakra Petch,,✓,,,
Orbitron,,✓,,,
Exo,,✓,,,
Silkscreen,,,,,✓
Changa,,✓,,,
Saira,,✓,,,
Russo One,,✓,,,
Space Mono,,,✓,,
Ubuntu Condensed,,✓,,,
Khand,,✓,,,
Ubuntu Mono,,,✓,,
Unbounded,,✓,,,
Oxanium,,✓,,,
Audiowide,,,,,✓
Big Shoulders Display,,✓,,,
Jura,,✓,,,
Unica One,,✓,,,
Electrolize,,✓,,,
Share Tech Mono,,,✓,,
Holtwood One SC,,,,,✓
Syncopate,,✓,,,
Economica,,✓,,,
Do Hyeon,,✓,,,
Coda,,✓,,,
Armata,,✓,,,
Michroma,,✓,,,
Aldrich,,✓,,,
Tomorrow,,✓,,,
Major Mono Display,,,✓,,
Odibee Sans,,✓,,,
Sofia Sans Semi Condensed,,✓,,,
Big Shoulders Text,,✓,,,
Turret Road,,✓,,,
Syne Mono,,,✓,,
SUSE,,✓,,,
Geo,,✓,,,
Sunflower,,✓,,,
Nova Square,,✓,,,
Kufam,,✓,,,
ZCOOL QingKe HuangYou,,,,,✓
Nova Mono,,,✓,,
Sarpanch,,✓,,,
Gugi,,,,,✓
Kelly Slab,✓,,,,
Tektur,,✓,,,
Megrim,,,,,✓
Iceberg,,,,,✓
Bakbak One,,✓,,,
Saira Stencil One,,,,,✓
Share Tech,,✓,,,
Cairo Play,,✓,,,
Zen Dots,,,,,✓
Genos,,✓,,,
Baumans,,✓,,,
Gemunu Libre,,✓,,,
Iceland,,✓,,,
Homenaje,,✓,,,
Nova Flat,,✓,,,
Rationale,,✓,,,
Braah One,,✓,,,
Mohave,,✓,,,
Text Me One,,✓,,,
Mina,,✓,,,
Handjet,,,,,✓
Unlock,,,,,✓
Keania One,,,,,✓
Bruno Ace SC,,,,,✓
Anta,,✓,,,
Bahiana,,,,,✓
Atomic Age,,,,,✓
Offside,,✓,,,
Smooch Sans,,✓,,,
Big Shoulders Inline Text,,,,,✓
Big Shoulders Stencil Text,,,,,✓
Chathura,,✓,,,
Tulpen One,,,,✓,
Climate Crisis,,,,,✓
Tourney,,,,,✓
Big Shoulders Stencil Display,,,,,✓
Bahianita,,,,,✓
Doto,,✓,,,
Revalia,,,,,✓
Bruno Ace,,,,,✓
Stalinist One,,,,,✓
Funnel Display,,,,,✓
Passero One,,,,,✓
Orbit,,✓,,,
Big Shoulders Inline Display,,,,,✓
Hubot Sans,,✓,,,
