Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Merienda,,,,✓,
Bangers,,,,,✓
Kalam,,✓,,,
Courgette,,,,✓,
Rubik Bubbles,,,,,✓
Josefin Slab,✓,,,,
Lilita One,,,,,✓
Permanent Marker,,,,,✓
Indie Flower,,,,,✓
Spicy Rice,,,,,✓
Amatic SC,,,,,✓
Lobster Two,,,,✓,
Comic Neue,,✓,,,
Handlee,,,,✓,
Pangolin,,,,,✓
Londrina Solid,,,,,✓
Balsamiq Sans,,✓,,,
Caveat Brush,,,,✓,
Chewy,,,,,✓
Boogaloo,,,,,✓
Gochi Hand,,,,✓,
Just Another Hand,,,,✓,
Jua,,✓,,,
Pattaya,,,,,✓
Grandstander,,,,,✓
Annie Use Your Telescope,,,,✓,
Knewave,,,,,✓
Mali,✓,,,,
Mountains of Christmas,,,,,✓
Love Ya Like A Sister,,,,,✓
Irish Grover,,,,,✓
Schoolbell,,,,✓,
Fresca,,✓,,,
Mochiy Pop One,,,,,✓
Delius,,✓,,,
RocknRoll One,,,,,✓
Rancho,,,,✓,
Calligraffitti,,,,✓,
Short Stack,,,,,✓
Gabriela,✓,,,,
Sansita Swashed,,,,,✓
Kurale,✓,,,,
Waiting for the Sunrise,,,,✓,
Aladin,,,,,✓
Bubblegum Sans,,,,,✓
Sedgwick Ave,,,,✓,
Syne Mono,,,✓,,
Over the Rainbow,,,,✓,
Croissant One,,,,,✓
ZCOOL QingKe HuangYou,,,,,✓
Yusei Magic,,✓,,,
Chelsea Market,,,,,✓
Loved by the King,,,,✓,
Unkempt,,,,,✓
McLaren,,,,,✓
Zen Kurenaido,,✓,,,
Happy Monkey,,✓,,,
Crafty Girls,,,,✓,
Kranky,,,,,✓
Atma,,✓,,,
BhuTuka Expanded One,,✓,,,
Just Me Again Down Here,,,,✓,
Artifika,✓,,,,
Dokdo,,,,✓,
Cherry Cream Soda,,,,,✓
Life Savers,,,,,✓
Wendy One,,,,,✓
Gluten,,,,,✓
Sofadi One,,,,,✓
Pompiere,,✓,,,
Slackey,,,,,✓
Shantell Sans,,✓,,,
Asar,✓,,,,
Lily Script One,,,,✓,
Galada,,,,,✓
Cantora One,,✓,,,
Hi Melody,,,,✓,
ZCOOL KuaiLe,,,,,✓
Fontdiner Swanky,,,,,✓
The Girl Next Door,,,,✓,
Nerko One,,,,,✓
Mochiy Pop P One,,,,,✓
Patrick Hand SC,,,,✓,
Gaegu,,✓,,,
Henny Penny,,,,,✓
Original Surfer,,,,,✓
Peralta,,,,,✓
Sedgwick Ave Display,,,,,✓
Rum Raisin,,,,,✓
Sunshiney,,,,✓,
Freckle Face,,,,,✓
Dekko,,✓,,,
