Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Anton,,✓,,,
Lobster,,,,✓,
Abril Fatface,,,,,✓
Rowdies,,,,,✓
Oleo Script,,,,✓,
Passion One,,,,,✓
Spicy Rice,,,,,✓
Acme,,✓,,,
Concert One,,,,,✓
Lobster Two,,,,✓,
Bree Serif,✓,,,,
Bangers,,,,,✓
Alfa Slab One,,,,,✓
Bowlby One,,,,,✓
Pirata One,,,,,✓
Kaushan Script,,,,✓,
Luckiest Guy,,,,,✓
Yatra One,,,,,✓
Berkshire Swash,,,,✓,
Sofia,,,,,✓
Tangerine,,,,✓,
Mitr,,✓,,,
Antonio,,✓,,,
Black Ops One,,,,,✓
Fraunces,✓,,,,
Ultra,✓,,,,
Vidaloka,✓,,,,
Carter One,,,,,✓
Alex Brush,,,,✓,
Rammetto One,,,,,✓
Playball,,,,✓,
Shrikhand,,,,,✓
Pinyon Script,,,,✓,
Bevan,,,,,✓
Titan One,,,,,✓
Amita,,,,✓,
Holtwood One SC,,,,,✓
Aclonica,,,,,✓
Chewy,,,,,✓
Rochester,,,,✓,
Italiana,✓,,,,
Julee,,,,✓,
Racing Sans One,,✓,,,
Rozha One,✓,,,,
Bellefair,✓,,,,
Chango,,,,,✓
Candal,,✓,,,
Pattaya,,,,,✓
Norican,,,,✓,
Gravitas One,✓,,,,
Chonburi,,,,,✓
Cantata One,✓,,,,
Aboreto,,,,,✓
Knewave,,,,,✓
Petit Formal Script,,,,✓,
Young Serif,✓,,,,
Jomhuria,,,,,✓
Style Script,,,,✓,
Limelight,,,,,✓
Salsa,,,,,✓
Yesteryear,,,,✓,
Niconne,,,,✓,
Rancho,,,,✓,
Rakkas,,,,,✓
Sigmar One,,,,,✓
Bowlby One SC,,,,,✓
Prosto One,,,,,✓
Caprasimo,,,,,✓
Gloock,✓,,,,
Inknut Antiqua,✓,,,,
Vina Sans,,,,,✓
Tiro Bangla,✓,,,,
Aguafina Script,,,,✓,
Yusei Magic,,✓,,,
Notable,,,,,✓
Coiny,,,,,✓
Oleo Script Swash Caps,,,,,✓
Modak,,,,,✓
Goblin One,,,,,✓
Amarante,,,,,✓
Ruslan Display,,,,,✓
Poller One,,,,,✓
Bigshot One,,,,,✓
Viaoda Libre,,,,,✓
Bakbak One,,,,,✓
Dokdo,,,,✓,
Belanosima,,✓,,,
Barriecito,,,,,✓
Wendy One,,,,,✓
Lily Script One,,,,✓,
Galada,,,,,✓
Fontdiner Swanky,,,,,✓
Macondo,,,,,✓
Akaya Kanadaka,,,,,✓
Orelega One,,,,,✓
Song Myung,✓,,,,
Henny Penny,,,,,✓
Original Surfer,,,,,✓
Peralta,,,,,✓
Uncial Antiqua,,,,,✓
Freckle Face,,,,,✓
Ceviche One,,,,,✓
Crushed,,,,,✓
Sail,,,,✓,
Kenia,,,,,✓
Tiro Devanagari Hindi,✓,,,,
Katibeh,,,,,✓
Asset,,,,,✓
Macondo Swash Caps,,,,,✓
Whisper,,,,✓,
Emilys Candy,,,,,✓
Angkor,,,,,✓
Jaro,,,,,✓
