Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Modak,,,,,✓
Oi,,,,,✓
Kablammmo,,,,,✓
Kirang Haerang,,,,,✓
Hanalei,,,,,✓
Rubik Moonrocks,,,,,✓
Rubik Distressed,,,,,✓
Rubik Gemstones,,,,,✓
Moo Lah Lah,,,,✓,
Rubik Bubbles,,✓,,,
Rubik Spray Paint,,,,,✓
Bangers,,,,,✓
Knewave,,,,,✓
Atma,,,,,✓
Hanalei Fill,,,,,✓
Rubik Dirt,,,,,✓
Rubik Puddles,,,,,✓
Henny Penny,,,,,✓
Jolly Lodger,,,,,✓
Mogra,,,,,✓
Bagel Fat One,,,,,✓
Joti One,,,,,✓
Freckle Face,,,,,✓
Chewy,,,,,✓
Rubik Iso,,,,,✓
Flavors,,,,,✓
Mystery Quest,,,,✓,
Rubik Glitch,,,,,✓
DynaPuff,,,,,✓
Slackey,,,,,✓
Bahiana,,,,,✓
Bahianita,,,,,✓
Fontdiner Swanky,,,,,✓
Chicle,,,,,✓
Lakki Reddy,,,,,✓
Eater,,,,,✓
Galindo,,,,,✓
Unkempt,,,,,✓
Londrina Shadow,,,,,✓
Londrina Outline,,,,,✓
Londrina Sketch,,,,,✓
Kranky,,,,,✓
Butterfly Kids,,,,✓,
Ranchers,,,,,✓
Luckiest Guy,,,,,✓
Mountains of Christmas,,,,,✓
Finger Paint,,,,,✓
Risque,,,,,✓
Peralta,,,,,✓
Road Rage,,,,,✓
Jua,,,,✓,
Annie Use Your Telescope,,,,,✓
Lacquer,,,,,✓
Spicy Rice,,,,✓,
Aladin,,,,,✓
Original Surfer,,,,,✓
Piedra,,,,,✓
Trade Winds,,,,,✓
Ribeye,,,,,✓
Ribeye Marrow,,,,,✓
Rampart One,,,,,✓
Cabin Sketch,,,,,✓
Englebert,,,,,✓
Mouse Memoirs,,,,,✓
Syne Mono,,,✓,,
Indie Flower,,,,✓,
Boogaloo,,,,,✓
Rum Raisin,,,,,✓
Gorditas,,,,,✓
Revalia,,,,,✓
Chela One,,,,,✓
Pacifico,,,,✓,
Bubblegum Sans,,✓,,,
Caveat Brush,,,,✓,
Dekko,,,,,✓
ZCOOL QingKe HuangYou,,,,,✓
Denk One,,,,,✓
Autour One,,,,,✓
Damion,,,,✓,
Sankofa Display,,,,,✓
Doto,,,,,✓
Gamja Flower,,,,,✓
East Sea Dokdo,,,,,✓
Give You Glory,,,,✓,
Kenia,,,,,✓
Gabriela,,,,,✓
Kurale,✓,,,,
Black And White Picture,,,,,✓
Frijole,,,,,✓
Rubik Wet Paint,,,,,✓
Potta One,,,,,✓
Astloch,,,,,✓
Love Light,,,,✓,
Leckerli One,,,,,✓
Mrs Sheppards,,,,✓,
Grandstander,,,,,✓
Lily Script One,,,,✓,
Wellfleet,,,,,✓
Borel,,,,,✓
Neucha,,,,,✓
Capriola,,✓,,,
Coiny,,,,,✓
Poetsen One,,,,,✓
Klee One,,✓,,,
Galada,,,,,✓
BioRhyme Expanded,✓,,,,
Raleway Dots,,✓,,,
