Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Shadows Into Light,,,,✓,
Amatic SC,,,,✓,
Bangers,,,,,✓
Creepster,,,,,✓
Eater,,,,,✓
Shadows Into Light Two,,,,✓,
Irish Grover,,,,,✓
Grenze Gotisch,,,,,✓
Meddon,,,,✓,
Trade Winds,,,,,✓
Ruslan Display,,,,,✓
Barriecito,,,,,✓
Henny Penny,,,,,✓
Freckle Face,,,,,✓
Ceviche One,,,,,✓
Underdog,,,,,✓
Road Rage,,,,,✓
WindSong,,,,✓,
Asset,,,,,✓
Emilys Candy,,,,,✓
Flavors,,,,,✓
Stick,,,,,✓
Sancreek,,,,,✓
Nosifer,,,,,✓
Barrio,,,,,✓
Kablammo,,,,,✓
Tillana,,,,✓,
Metal Mania,,,,,✓
Mystery Quest,,,,✓,
New Rocker,,,,,✓
Bahiana,,,,,✓
Jolly Lodger,,,,,✓
Rubik Wet Paint,,,,,✓
Single Day,,,,,✓
Butcherman,,,,,✓
Purple Purse,,,,,✓
Rubik Distressed,,,,,✓
Rubik Puddles,,,,,✓
Are You Serious,,,,✓,
Rubik Gemstones,,,,,✓
Rubik Burned,,,,,✓
