Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Dancing Script,,,,✓,
Great Vibes,,,,✓,
Sacramento,,,,✓,
Allura,,,,✓,
Parisienne,,,,✓,
Cookie,,,,✓,
Alex Brush,,,,✓,
Playball,,,,✓,
Pinyon Script,,,,✓,
Marck Script,,,,✓,
Italianno,,,,✓,
Amita,,,,✓,
Mr Dafoe,,,,✓,
Charm,,,,✓,
Quintessential,,,,,✓
Allison,,,,✓,
Mrs Saint Delafield,,,,✓,
Herr Von Muellerhoff,,,,✓,
Norican,,,,✓,
Arizonia,,,,✓,
Petit Formal Script,,,,✓,
Style Script,,,,✓,
Yesteryear,,,,✓,
Niconne,,,,✓,
Monsieur La Doulaise,,,,✓,
Aref Ruqaa,,,,✓,
Aguafina Script,,,,✓,
Hurricane,,,,,✓
Qwigley,,,,✓,
Mr De Haviland,,,,✓,
Birthstone,,,,✓,
Corinthia,,,,✓,
Charmonman,,,,✓,
Bilbo Swash Caps,,,,✓,
Lovers Quarrel,,,,✓,
MonteCarlo,,,,✓,
Moon Dance,,,,✓,
Carattere,,,,✓,
Luxurious Script,,,,✓,
Meie Script,,,,✓,
Waterfall,,,,✓,
Mea Culpa,,,,✓,
Caramel,,,,✓,
Imperial Script,,,,✓,
Beau Rivage,,,,✓,
Gwendolyn,,,,✓,
Bilbo,,,,✓,
Felipa,,,,✓,
Bonheur Royale,,,,✓,
Ballet,,,,✓,
Romanesco,,,,,✓
Aref Ruqaa Ink,,,,✓,
Jim Nightshade,,,,,✓
Luxurious Roman,,,,✓,
Love Light,,,,✓,
Mr Bedfort,,,,✓,
Fleur De Leah,,,,✓,
Miss Fajardose,,,,✓,
Kings,,,,✓,
Explora,,,,✓,
Updock,,,,✓,
Island Moments,,,,✓,
My Soul,,,,✓,
Cherish,,,,✓,
