Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Roboto,,✓,,,
Poppins,,✓,,,
Roboto Condensed,,✓,,,
Oswald,,✓,,,
Roboto Mono,,,✓,,
Raleway,,✓,,,
Rubik,,✓,,,
Ubuntu,,✓,,,
Merriweather,✓,,,,
Kanit,,✓,,,
Roboto Slab,✓,,,,
PT Sans,,✓,,,
Lora,✓,,,,
Work Sans,,✓,,,
DM Sans,,✓,,,
Manrope,,✓,,,
PT Serif,✓,,,,
Karla,,✓,,,
Titillium Web,,✓,,,
Libre Franklin,,✓,,,
Schibsted Grotesk,,✓,,,
Space Grotesk,,✓,,,
Libre Baskerville,✓,,,,
Exo 2,,✓,,,
Bitter,✓,,,,
PT Sans Narrow,,✓,,,
Source Sans 3,,✓,,,
Assistant,,✓,,,
Teko,,✓,,,
Source Code Pro,,,✓,,
Plus Jakarta Sans,,✓,,,
Signika Negative,,✓,,,
Prompt,,✓,,,
Oxygen,,✓,,,
Lilita One,,,,,✓
Public Sans,,✓,,,
Roboto Flex,,✓,,,
Tajawal,,✓,,,
Slabo 27px,✓,,,,
Varela Round,,✓,,,
Arvo,✓,,,,
Archivo Black,,✓,,,
Rowdies,,,,,✓
Maven Pro,,✓,,,
Rajdhani,,✓,,,
Sora,,✓,,,
Zilla Slab,✓,,,,
Chakra Petch,,✓,,,
Play,,✓,,,
Almarai,,✓,,,
DM Serif Display,✓,,,,
Urbanist,,✓,,,
Signika,,✓,,,
Saira Condensed,,✓,,,
Passion One,,,,,✓
Cinzel,✓,,,,
Be Vietnam Pro,,✓,,,
Yanone Kaffeesatz,,✓,,,
Domine,✓,,,,
Vollkorn,✓,,,,
Orbitron,,,,,✓
Marcellus,✓,,,,
Spicy Rice,,,,,✓
Catamaran,,✓,,,
Exo,,✓,,,
Sofia Sans,,✓,,,
Righteous,,,,,✓
Rubik Mono One,,,✓,,
Silkscreen,,,,,✓
Sarabun,,✓,,,
Spectral,✓,,,,
Zen Kaku Gothic New,,✓,,,
Bree Serif,✓,,,,
Changa,,✓,,,
Saira,,✓,,,
Tinos,✓,,,,
Roboto Serif,✓,,,,
Chivo,,✓,,,
Bowlby One,,,,,✓
Gothic A1,,✓,,,
Yantramanav,,✓,,,
Russo One,,,,,✓
JetBrains Mono,,,✓,,
Crete Round,✓,,,,
Pirata One,,,,,✓
Squada One,,,,,✓
Sen,,✓,,,
Rokkitt,✓,,,,
VT323,,,✓,,
Libre Caslon Text,✓,,,,
PT Sans Caption,,✓,,,
Rubik Bubbles,,,,,✓
Vazirmatn,,✓,,,
Unna,✓,,,,
Space Mono,,,✓,,
Encode Sans,,✓,,,
Ubuntu Condensed,,✓,,,
Francois One,,✓,,,
Encode Sans Condensed,,✓,,,
Gruppo,,,,,✓
