Font Name,Serif,Sans Serif,Monospace,Calligraphy,Display/Decorative
Playfair Display,✓,,,,
Roboto Slab,✓,,,,
Lora,✓,,,,
Work Sans,,✓,,,
Karla,,✓,,,
Libre Franklin,,✓,,,
Josefin Sans,,✓,,,
Jost,,✓,,,
Schibsted Grotesk,,✓,,,
Anton,,✓,,,
EB Garamond,✓,,,,
Crimson Text,✓,,,,
Source Code Pro,,,✓,,
Signika Negative,,✓,,,
Pacifico,,,,✓,
Lobster,,,,✓,
Public Sans,,✓,,,
Slabo 27px,✓,,,,
Varela Round,,✓,,,
Comfortaa,,✓,,,
Arvo,✓,,,,
Cormorant Garamond,✓,,,,
Abril Fatface,✓,,,,
Zilla Slab,✓,,,,
Source Serif 4,✓,,,,
Almarai,,✓,,,
Permanent Marker,,,,,✓
DM Serif Display,✓,,,,
Frank Ruhl Libre,✓,,,,
Signika,,✓,,,
Satisfy,,,,✓,
Cinzel,✓,,,,
Be Vietnam Pro,,✓,,,
Alegreya,✓,,,,
Domine,✓,,,,
Vollkorn,✓,,,,
Cormorant,,,,,✓
Orbitron,,✓,,,
Spicy Rice,,,,✓,
Great Vibes,,,,✓,
Acme,,✓,,,
Amatic SC,,,,✓,
Lobster Two,,,,✓,
Spectral,✓,,,,
Prata,✓,,,,
Bodoni Moda,✓,,,,
Patua One,✓,,,,
Alegreya Sans,,✓,,,
Tinos,✓,,,,
Yellowtail,,,,✓,
Kalam,,,,✓,
Alfa Slab One,✓,,,,
Press Start 2P,,✓,,,
Cardo,✓,,,,
Crimson Pro,✓,,,,
Bowlby One,,✓,,,
Sawarabi Mincho,✓,,,,
JetBrains Mono,,,✓,,
Pirata One,,,,✓,
Squada One,,✓,,,
Sen,,✓,,,
Rokkitt,✓,,,,
VT323,,✓,,,
Libre Caslon Text,✓,,,,
PT Sans Caption,,✓,,,
Rubik Bubbles,,✓,,,
Vazirmatn,,✓,,,
Unna,✓,,,,
Space Mono,,,✓,,
Encode Sans,,✓,,,
Ubuntu Condensed,,✓,,,
Francois One,,✓,,,
Encode Sans Condensed,,✓,,,
Gruppo,,✓,,,
Yatra One,,,,,✓
Berkshire Swash,,,,✓,
Baskervville,✓,,,,
Sofia,,,,,✓
Special Elite,,,,,✓
Neuton,✓,,,,
Gelasio,✓,,,,
Sanchez,✓,,,,
Yeseva One,,,,,✓
Dela Gothic One,,,,,✓
Literata,✓,,,,
Paytone One,,✓,,,
Pathway Gothic One,,✓,,,
Parisienne,,,,✓,
Bungee,,,,,✓
Staatliches,,,,,✓
League Gothic,,✓,,,
Padauk,,✓,,,
Antonio,,✓,,,
Cookie,,,,✓,
